Data_set,Layer_size,Activation,CV,Stopping,Solver,Accuracy,F-score
wine.data,"(3,)",tanh,4,True,sgd,0.3147286821705426,0.2200143608038345
wine.data,"(3,)",tanh,6,True,sgd,0.30436507936507934,0.16297457964124631
wine.data,"(3,)",tanh,8,True,sgd,0.3469320534537926,0.23404435766985815
wine.data,"(3,)",tanh,2,False,adam,0.8319444444444444,0.8398099335142524
wine.data,"(3,)",tanh,4,False,adam,0.7320413436692506,0.7196947772523122
wine.data,"(3,)",tanh,6,False,adam,0.5722222222222223,0.5225319708637229
wine.data,"(3,)",tanh,8,False,adam,0.6455627705627706,0.5911029340886151
wine.data,"(3,)",tanh,2,False,sgd,0.4897727272727273,0.31961385916336155
wine.data,"(3,)",tanh,4,False,sgd,0.591343669250646,0.5202127544703202
wine.data,"(3,)",tanh,6,False,sgd,0.5988095238095238,0.5339047717183918
wine.data,"(3,)",tanh,8,False,sgd,0.5840038584603802,0.4597517914211525
wine.data,"(6,)",tanh,2,True,adam,0.31893939393939397,0.2607563172128656
wine.data,"(6,)",tanh,4,True,adam,0.2864341085271318,0.18544357485244184
wine.data,"(6,)",tanh,6,True,adam,0.33928571428571425,0.22586657376430674
wine.data,"(6,)",tanh,8,True,adam,0.34305006587615283,0.1891867411289611
wine.data,"(6,)",tanh,2,True,sgd,0.22512626262626262,0.15624644738469284
wine.data,"(6,)",tanh,4,True,sgd,0.4543927648578811,0.27438460386573593
wine.data,"(6,)",tanh,6,True,sgd,0.3198412698412698,0.19137702496835626
wine.data,"(6,)",tanh,8,True,sgd,0.3321569734613213,0.21315503083520176
wine.data,"(6,)",tanh,2,False,adam,0.8429292929292929,0.8476408904433587
wine.data,"(6,)",tanh,4,False,adam,0.8370801033591732,0.8384407956175198
wine.data,"(6,)",tanh,6,False,adam,0.8603174603174604,0.8534786872241441
wine.data,"(6,)",tanh,8,False,adam,0.8149233013363448,0.7873854770816845
wine.data,"(6,)",tanh,2,False,sgd,0.7424242424242424,0.7312044662654419
wine.data,"(6,)",tanh,4,False,sgd,0.6133074935400517,0.575209971671875
wine.data,"(6,)",tanh,6,False,sgd,0.6952380952380953,0.6671234152518181
wine.data,"(6,)",tanh,8,False,sgd,0.6558676830415962,0.5554448120174497
wine.data,"(9,)",tanh,2,True,adam,0.5122474747474748,0.36073990414122886
wine.data,"(9,)",tanh,4,True,adam,0.3821705426356589,0.20417710944026732
wine.data,"(9,)",tanh,6,True,adam,0.3976190476190476,0.26631728778467906
wine.data,"(9,)",tanh,8,True,adam,0.29319593450028236,0.21960797293081807
wine.data,"(9,)",tanh,2,True,sgd,0.303030303030303,0.1651222778673759
wine.data,"(9,)",tanh,4,True,sgd,0.32532299741602067,0.17415492309109332
wine.data,"(9,)",tanh,6,True,sgd,0.3246031746031746,0.23811447716837172
wine.data,"(9,)",tanh,8,True,sgd,0.33662714097496704,0.25139276829993484
wine.data,"(9,)",tanh,2,False,adam,0.8878787878787879,0.8911626450400156
wine.data,"(9,)",tanh,4,False,adam,0.9320413436692507,0.9369271683014005
wine.data,"(9,)",tanh,6,False,adam,0.8884920634920636,0.8879489730243534
wine.data,"(9,)",tanh,8,False,adam,0.9607213438735178,0.960629343853028
wine.data,"(9,)",tanh,2,False,sgd,0.7583333333333333,0.7264550517578583
wine.data,"(9,)",tanh,4,False,sgd,0.6913436692506459,0.6174101126360851
